id,Lote,Pale
860,504,1070
861,576,1276
862,555,1994
863,523,1001
864,509,1533
865,517,1194
866,568,1881
867,523,1630
868,526,1706
869,525,1302
870,545,1620
871,518,1921
872,578,1686
873,552,1273
874,531,1073
875,506,1595
876,543,1149
877,529,1171
878,521,1359
879,512,1152
